Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile range,Quartile number,Suppression Flag
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,50 - 59 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,38.2,35.7,40.8,35.7 - 40.8,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,60 - 69 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,34.4,31.7,37.3,31.7 - 37.3,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,70 - 79 years,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,31.1,26.4,36.1,26.4 - 36.1,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Age,United States,80 years and above,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,23.3,18,29.3,18.0 - 29.3,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Sex,United States,Male,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,27.6,26.1,29.2,26.1 - 29.2,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Sex,United States,Female,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,41.5,39.9,43,39.9 - 43.0,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Gender identity,United States,Cis-gender male,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,27.1,25.6,28.6,25.6 - 28.6,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Gender identity,United States,Cis-gender female,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,41.3,39.8,42.9,39.8 - 42.9,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Gender identity,United States,Transgender,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,49.1,34.6,63.7,34.6 - 63.7,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Sexual orientation,United States,Gay or lesbian,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,34.7,26.4,43.7,26.4 - 43.7,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Sexual orientation,United States,Straight,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,34.1,33.2,35,33.2 - 35.0,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Sexual orientation,United States,Bisexual,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,46.9,40.4,53.5,40.4 - 53.5,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,39.6,36.7,42.5,36.7 - 42.5,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,33.8,32.6,35,32.6 - 35.0,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,37.8,33.5,42.2,33.5 - 42.2,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,25.4,21,30.2,21.0 - 30.2,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,35.7,31,40.6,31.0 - 40.6,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Education,United States,Less than a high school diploma,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,40.3,33.5,47.5,33.5 - 47.5,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Education,United States,High school diploma or GED,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,38.5,36.2,40.8,36.2 - 40.8,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Education,United States,Some college/Associate's degree,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,39,37.4,40.7,37.4 - 40.7,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Education,United States,Bachelor's degree or higher,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,26.2,25,27.4,25.0 - 27.4,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Disability status,United States,With disability,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,57.7,54.1,61.2,54.1 - 61.2,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By Disability status,United States,Without disability,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,30.8,29.7,31.9,29.7 - 31.9,,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Alabama,Alabama,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,44.2,37.5,51.2,37.5 - 51.2,40.9-54.6,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Alaska,Alaska,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,54.6,42.4,66.3,42.4 - 66.3,40.9-54.6,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Arizona,Arizona,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,40.5,34.9,46.3,34.9 - 46.3,35.9-40.8,3,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Arkansas,Arkansas,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,39.5,31.1,48.5,31.1 - 48.5,35.9-40.8,3,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,California,California,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,31.3,27.4,35.4,27.4 - 35.4,23.8-31.3,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Colorado,Colorado,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,38.7,32.2,45.5,32.2 - 45.5,35.9-40.8,3,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Connecticut,Connecticut,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,29.3,24,35.1,24.0 - 35.1,23.8-31.3,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Delaware,Delaware,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,28.6,18.3,40.7,18.3 - 40.7,23.8-31.3,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,District of Columbia,District of Columbia,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,30.3,17.4,46,17.4 - 46.0,23.8-31.3,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Florida,Florida,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,32.7,26.5,39.5,26.5 - 39.5,31.4-35.8,2,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Georgia,Georgia,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,35.8,29.1,42.9,29.1 - 42.9,31.4-35.8,2,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Hawaii,Hawaii,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,23.8,16.6,32.2,16.6 - 32.2,23.8-31.3,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Idaho,Idaho,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,41.3,34.1,48.8,34.1 - 48.8,40.9-54.6,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Illinois,Illinois,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,34.9,29.9,40.2,29.9 - 40.2,31.4-35.8,2,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Indiana,Indiana,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,38.1,31.7,44.9,31.7 - 44.9,35.9-40.8,3,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Iowa,Iowa,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,30.3,24.6,36.4,24.6 - 36.4,23.8-31.3,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Kansas,Kansas,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,44.5,37.8,51.5,37.8 - 51.5,40.9-54.6,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Kentucky,Kentucky,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,45.6,37.6,53.7,37.6 - 53.7,40.9-54.6,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Louisiana,Louisiana,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,41.5,33.2,50.2,33.2 - 50.2,40.9-54.6,4,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Maine,Maine,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,27.7,20.4,36.1,20.4 - 36.1,23.8-31.3,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Maryland,Maryland,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,30.3,24.5,36.7,24.5 - 36.7,23.8-31.3,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Massachusetts,Massachusetts,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,27.4,23.3,31.8,23.3 - 31.8,23.8-31.3,1,
"Ever experienced long COVID, as a percentage of adults who ever had COVID",By State,Michigan,Michigan,3.5,46,"Jun 1 - Jun 13, 2022",06/01/2022,06/13/2022,36.7,31.3,42.4,31.3 - 42.4,35.9-40.8,3,
